1969,class,1970,class,1971,class,1972,class,1973,class,1974,class,1975,class,1976,class,1977,class,1978,class,1979,class
88.989,class6,90.048,class6,161.609,class11,105.3,class7,168.496,class11,144.122,class10,113.226,class8,96.469,class16,118.008,class8,92.523,class6,115.147,class8
127.122,class8,83.383,class6,124.432,class8,119.884,class8,163.727,class11,79.368,class5,84.236,class6,107.033,class16,145.827,class10,122.448,class8,99.46,class7
100.687,class7,97.279,class7,125.31,class8,141.261,class9,146.939,class10,131.82,class9,111.25,class7,81.081,class16,179.014,class12,122.614,class8,123.102,class8
81.053,class6,86.562,class6,142.735,class9,149.394,class10,111.136,class7,158.947,class10,112.629,class8,132.972,class16,120.651,class8,82.124,class6,131.603,class9
81.599,class6,105.85,class7,130.531,class9,171.135,class11,164.132,class11,116.952,class8,132.943,class9,132.503,class16,156.101,class10,175.514,class11,149.97,class10
97.968,class7,86.926,class6,134.917,class9,97.982,class7,85.925,class6,124.918,class8,135.193,class9,147.103,class16,158.972,class10,124.238,class8,120.471,class8
107.041,class7,133.136,class9,119.702,class8,53.477,class4,199.263,class13,102.848,class7,122.631,class8,120.918,class16,111.129,class7,97.884,class7,116.117,class8
79.202,class5,105.541,class7,78.044,class5,148.219,class10,106.299,class7,78.591,class5,126.632,class8,116.454,class16,140.798,class9,94.904,class6,126.662,class8
149.141,class10,128.079,class9,134.042,class9,80.831,class6,87.982,class6,113.404,class8,137.481,class9,130.864,class16,103.644,class7,130.189,class9,96.717,class7
118.504,class8,92.292,class6,124.551,class8,117.225,class8,77.848,class5,181.004,class12,129.98,class9,90.821,class16,66.302,class5,100.296,class7,147.514,class10
166.829,class11,77.583,class5,135.014,class9,95.989,class6,84.025,class6,73.131,class5,77.349,class5,107.327,class16,119.374,class8,137.241,class9,95.663,class6
90.527,class6,130.131,class9,76.445,class5,77.507,class5,83.886,class6,93.294,class6,106.495,class7,140.982,class16,124.936,class8,93.307,class6,90.262,class6
142.748,class9,85.196,class6,91.786,class6,173.442,class11,97.936,class7,92.874,class6,138.8,class9,132.302,class16,82.793,class6,154.025,class10,121.493,class8
89.574,class6,118.928,class8,90.53,class6,127.531,class8,142.362,class9,140.55,class9,124.65,class8,100.551,class16,188.717,class12,129.629,class9,128.295,class9
150.17,class10,147.795,class10,132.876,class9,152.54,class10,97.628,class7,128.821,class9,137.16,class9,91.182,class16,135.175,class9,135.476,class9,118.591,class8
118.404,class8,120.173,class8,169.39,class11,98.507,class7,134.953,class9,99.414,class7,116.819,class8,129.084,class16,133.898,class9,154.955,class10,157.432,class10
173.944,class11,108.291,class7,106.734,class7,134.099,class9,137.764,class9,120.378,class8,205.47,class13,168.58,class16,71.041,class5,129.546,class9,120.529,class8
127.629,class8,77.941,class5,158.289,class10,91.469,class6,97.924,class7,129.167,class9,107.484,class7,93.387,class16,105.797,class7,97.746,class7,141.242,class9
155.96,class10,81.976,class6,135.027,class9,99.93,class7,123.191,class8,90.281,class6,128.56,class9,110.621,class16,91.134,class6,109.623,class7,110.35,class7
135.605,class9,138.341,class9,131.064,class9,142.332,class9,96.96,class7,101.307,class7,77.232,class5,102.589,class16,128.631,class9,124.25,class8,117.955,class8
116.232,class8,204.692,class13,113.83,class8,81.828,class6,137.38,class9,103.813,class7,124.236,class8,127.692,class16,129.26,class9,82.941,class6,176.966,class12
94.221,class6,113.097,class8,128.022,class9,105.552,class7,92.521,class6,132.543,class9,182.107,class12,91.681,class16,65.83,class5,131.467,class9,144.246,class10
111.577,class7,156.059,class10,97.84,class7,136.166,class9,189.498,class12,75.501,class5,80.074,class6,116.023,class16,94.504,class6,165.376,class11,128.13,class9
81.257,class6,92.311,class6,151.258,class10,76.591,class5,117.805,class8,102.8,class7,109.333,class7,117.917,class16,131.629,class9,123.539,class8,102.274,class7
101.856,class7,139.53,class9,129.943,class9,133.216,class9,85.622,class6,135.093,class9,98.665,class7,84.24,class16,97.305,class7,167.359,class11,102.558,class7
82.134,class6,75.798,class5,100.29,class7,130.05,class9,126.318,class8,72.029,class5,174.896,class11,144.601,class16,179.014,class12,110.581,class7,172.546,class11
120.67,class8,127.252,class8,134.912,class9,117.731,class8,152.276,class10,101.467,class7,98.346,class7,150.243,class16,171.514,class11,129.716,class9,129.797,class9
114.521,class8,77.464,class5,105.155,class7,93.726,class6,102.451,class7,102.299,class7,101.632,class7,137.153,class16,74.855,class5,74.857,class5,117.112,class8
98.583,class7,89.013,class6,137.172,class9,124.379,class8,132.233,class9,126.4,class8,78.352,class5,115.388,class16,147.226,class10,88.257,class6,178.175,class12
148.417,class10,151.878,class10,77.17,class5,104.7,class7,88.256,class6,113.103,class8,122.325,class8,133.186,class16,129.733,class9,82.787,class6,91.392,class6
115.24,class8,105.911,class7,74.72,class5,103.493,class7,120,class8,95.965,class6,81.075,class6,181.042,class16,125.619,class8,139.149,class9,68.257,class5
120.937,class8,78.93,class5,128.807,class9,119.931,class8,111.356,class7,138.109,class9,105.911,class7,107.319,class16,117.037,class8,154.814,class10,175.861,class11
101.539,class7,125.545,class8,101.822,class7,98.949,class7,120.55,class8,134.782,class9,96.02,class7,153.466,class16,148.246,class10,95.345,class6,95.942,class6
175.04,class11,166.186,class11,94.683,class6,123.736,class8,87.567,class6,138.981,class9,124.867,class8,81.278,class16,100.626,class7,104.995,class7,151.368,class10
146.84,class10,76.711,class5,159.443,class10,80.814,class6,121.444,class8,169.146,class11,117.792,class8,117.563,class16,121.827,class8,105.877,class7,102.881,class7
136.093,class9,124.033,class8,97.628,class7,119.819,class8,154.235,class10,145.97,class10,123.325,class8,98.093,class16,123.16,class8,111.359,class7,137.083,class9
112.377,class8,127.856,class8,120.795,class8,81.772,class6,107.349,class7,83.052,class6,115.237,class8,89.663,class16,97.005,class7,142.979,class9,127.102,class8
91.259,class6,146.268,class10,146.211,class10,135.975,class9,167.7,class11,99.926,class7,124.357,class8,96.752,class16,128.073,class9,127.955,class8,208.486,class14
100.495,class7,128.944,class9,119.415,class8,75.703,class5,172.595,class11,96.333,class7,113.833,class8,122.397,class16,105.357,class7,118.913,class8,113.244,class8
125.597,class8,117.749,class8,94.075,class6,99.078,class7,97.097,class7,128.697,class9,107.146,class7,109.784,class16,127.153,class8,145.629,class10,176.717,class12
156.979,class10,130.216,class9,76.321,class5,112.582,class8,107.202,class7,137.252,class9,140.899,class9,94.031,class16,176.243,class12,120.174,class8,92.187,class6
74.006,class5,71.629,class5,167.936,class11,131.836,class9,113.965,class8,120.134,class8,79.364,class5,136.542,class16,114.226,class8,154.097,class10,119.285,class8
181.373,class12,100.646,class7,73.738,class5,91.657,class6,99.05,class7,115.474,class8,80.299,class6,125.83,class16,131.193,class9,82.439,class6,76.926,class5
132.035,class9,118.036,class8,155.093,class10,141.982,class9,86.812,class6,117.963,class8,157.842,class10,139.175,class16,100.792,class7,111.13,class7,100.068,class7
107.573,class7,163.664,class11,103.806,class7,74.233,class5,87.696,class6,105.277,class7,87.565,class6,109.076,class16,174.042,class11,123.428,class8,145.443,class10
124.567,class8,132.652,class9,141.262,class9,136.945,class9,215.918,class14,113.427,class8,124.66,class8,98.697,class16,146.032,class10,140.395,class9,114.992,class8
117.449,class8,125.271,class8,166.139,class11,73.122,class5,111.154,class7,125.313,class8,180.05,class12,123.724,class16,149.959,class10,97.207,class7,118.415,class8
141.345,class9,146.682,class10,128.592,class9,126.822,class8,175.024,class11,140.153,class9,113.618,class8,146.019,class16,125.02,class8,62.204,class4,107.14,class7
93.199,class6,115.524,class8,175.139,class11,145.253,class10,95.876,class6,125.051,class8,91.558,class6,124.431,class16,135.409,class9,110.723,class7,123.021,class8
96.657,class7,128.221,class9,78.239,class5,82.199,class6,99.593,class7,75.288,class5,91.285,class6,175.387,class16,127.672,class8,131.577,class9,151.796,class10
100.721,class7,154.01,class10,137.132,class9,99.05,class7,121.016,class8,88.364,class6,125.021,class8,111.848,class16,136.209,class9,129.024,class9,103.476,class7
96.614,class7,116.477,class8,68.82,class5,116.956,class8,134.801,class9,142.379,class9,130.052,class9,81.91,class16,123.166,class8,113.036,class8,129.048,class9
81.028,class6,94.141,class6,93.359,class6,103.111,class7,79.241,class5,130.14,class9,105.392,class7,76.908,class16,139.872,class9,88.085,class6,144.699,class10
87.979,class6,139.687,class9,118.129,class8,80.97,class6,136.283,class9,133.315,class9,87.507,class6,88.054,class16,125.761,class8,127.79,class8,101.068,class7
82.56,class6,110.58,class7,121.664,class8,88.796,class6,123.528,class8,89.051,class6,74.965,class5,129.178,class16,90.639,class6,75.68,class5,127.46,class8
109.574,class7,128.807,class9,74.88,class5,176.396,class12,111.297,class7,96.653,class7,96.593,class7,151.542,class16,98.338,class7,98.818,class7,129.097,class9
110.849,class7,83.553,class6,75.661,class5,153.691,class10,73.666,class5,147.883,class10,115.299,class8,125.248,class16,139.148,class9,83.792,class6,184.611,class12
82.947,class6,98.008,class7,125.94,class8,113.911,class8,123.744,class8,151.325,class10,197.462,class13,134.277,class16,121.377,class8,101.395,class7,34.717,class3
208.576,class14,140.628,class9,181.049,class12,135.261,class9,123.705,class8,152.171,class10,87.304,class6,136.997,class16,77.986,class5,112.264,class8,99.473,class7
98.554,class7,109.114,class7,158.908,class10,169.112,class11,181.183,class12,146.256,class10,139.331,class9,187.617,class16,130.722,class9,111.98,class7,96.307,class7
93.397,class6,113.656,class8,116.85,class8,122.926,class8,135.248,class9,93.185,class6,98.223,class7,134.177,class16,88.445,class6,112.125,class8,87.126,class6
152.098,class10,77.464,class5,89.542,class6,156.695,class10,141.906,class9,117.014,class8,127.212,class8,198.745,class16,110.201,class7,126.513,class8,155.714,class10
76.785,class5,73.393,class5,132.554,class9,137.611,class9,97.375,class7,124.622,class8,164.11,class11,106.189,class16,106.104,class7,109.638,class7,121.615,class8
128.111,class9,77.496,class5,97.979,class7,109.246,class7,162.236,class11,96.878,class7,101.855,class7,134.446,class16,133.353,class9,107.826,class7,128.892,class9
92.983,class6,67.409,class5,107.73,class7,96.152,class7,78.727,class5,186.72,class12,90.857,class6,114.987,class16,94.812,class6,97.548,class7,79.007,class5
90.536,class6,96.39,class7,83.175,class6,167.1,class11,138.467,class9,141.374,class9,179.172,class12,132.363,class16,112.837,class8,146.629,class10,114.612,class8
144.595,class10,161.874,class11,170.879,class11,92.061,class6,115.317,class8,140.268,class9,120.021,class8,72.842,class16,140.235,class9,118.294,class8,75.866,class5
135.762,class9,136.882,class9,70.645,class5,77.999,class5,152.211,class10,109.092,class7,133.231,class9,168.963,class16,196.495,class13,178.281,class12,85.693,class6
158.563,class10,82.859,class6,92.93,class6,142.675,class9,125.787,class8,88.815,class6,133.712,class9,134.991,class16,127.513,class8,86.598,class6,156.104,class10
112.818,class8,90.666,class6,88.133,class6,183.757,class12,160.448,class11,97.031,class7,114.388,class8,119.021,class16,119.528,class8,111.937,class7,125.263,class8
129.896,class9,123.127,class8,96.239,class7,108.913,class7,121.081,class8,132.274,class9,135.877,class9,109.638,class16,142.444,class9,67.006,class5,118.531,class8
112.794,class8,73.411,class5,86.998,class6,109.227,class7,146.657,class10,96.183,class7,85.786,class6,78.675,class16,138.131,class9,98.691,class7,130.959,class9
75.445,class5,75.165,class5,140.342,class9,107.107,class7,103.233,class7,93.914,class6,88.862,class6,115.18,class16,174.867,class11,184.052,class12,205.025,class13
135.752,class9,149.304,class10,142.708,class9,120.748,class8,117.248,class8,127.686,class8,137.047,class9,177.495,class16,91.881,class6,132.897,class9,115.519,class8
111.215,class7,113.939,class8,75.859,class5,101.253,class7,96.95,class7,148.188,class10,176.672,class12,75.139,class16,199.517,class13,121.336,class8,109.37,class7
102.773,class7,140.41,class9,118.649,class8,72.906,class5,152.875,class10,136.427,class9,141.463,class9,80.34,class16,129.583,class9,143.183,class9,157.963,class10
83.138,class6,174.963,class11,132.359,class9,131.712,class9,144.292,class10,103.837,class7,92.242,class6,98.424,class16,123.203,class8,144.994,class10,93.03,class6
172.323,class11,115.726,class8,85.297,class6,133.558,class9,76.857,class5,122.027,class8,111.78,class7,136.01,class16,85.022,class6,73.984,class5,103.161,class7
118.066,class8,165.156,class11,180.685,class12,155.775,class10,138.725,class9,136.007,class9,106.16,class7,120.397,class16,184.244,class12,127.655,class8,104.288,class7
92.408,class6,91.203,class6,95.582,class6,124.247,class8,85.851,class6,120.142,class8,83.129,class6,67.848,class16,88.936,class6,130.887,class9,107.415,class7
149.645,class10,154.446,class10,135.603,class9,120.246,class8,96.872,class7,95.717,class6,111.036,class7,121.822,class16,74.495,class5,83.128,class6,133.255,class9
127.472,class8,81.898,class6,146.231,class10,137.052,class9,101.858,class7,119.439,class8,131.901,class9,131.464,class16,136.232,class9,94.404,class6,143.182,class9
88.064,class6,133.399,class9,81.201,class6,143.771,class9,109.445,class7,101.324,class7,171.77,class11,113.928,class16,171.719,class11,117.375,class8,151.779,class10
79.273,class5,152.467,class10,129.242,class9,125.834,class8,119.283,class8,191.102,class12,123.288,class8,167.036,class16,128.064,class9,123.602,class8,143.603,class9
95.417,class6,122.227,class8,131.717,class9,112.866,class8,159.833,class10,121.604,class8,106.1,class7,127.215,class16,188.867,class12,123.948,class8,116.603,class8
128.336,class9,118.641,class8,141.334,class9,79.414,class5,177.417,class12,119.827,class8,173.644,class11,166.81,class16,150.064,class10,168.164,class11,96.493,class7
128.949,class9,91.841,class6,109.319,class7,117.53,class8,96.083,class7,171.608,class11,89.212,class6,145.249,class16,122.872,class8,134.336,class9,130.762,class9
77.08,class5,142.067,class9,75.368,class5,131.188,class9,144.972,class10,111.038,class7,82.006,class6,119.068,class16,144.965,class10,159.573,class10,121.427,class8
77.57,class5,103.068,class7,93.423,class6,147.274,class10,129.296,class9,140.9,class9,125.059,class8,93.525,class16,128.585,class9,122.425,class8,110.936,class7
103.283,class7,159.174,class10,130.246,class9,124.569,class8,101.607,class7,85.921,class6,178.273,class12,134.319,class16,113.948,class8,144.851,class10,73.398,class5
169.867,class11,112.753,class8,78.143,class5,131.228,class9,99.537,class7,81.681,class6,171.668,class11,173.365,class16,102.855,class7,121.476,class8,161.072,class11
79.406,class5,118.964,class8,182.719,class12,128.8,class9,155.588,class10,115.073,class8,105.441,class7,87.838,class16,100.826,class7,135.742,class9,138.861,class9
160.414,class11,79.537,class5,135.402,class9,127.602,class8,138.64,class9,142.354,class9,140.046,class9,139.176,class16,63.452,class4,120.165,class8,107.456,class7
75.488,class5,170.379,class11,86.304,class6,75.742,class5,129.44,class9,156.411,class10,130.885,class9,75.728,class16,123.384,class8,103.176,class7,107.68,class7
141.82,class9,133.074,class9,109.081,class7,172.364,class11,121.576,class8,101.564,class7,116.207,class8,90.584,class16,108.063,class7,94.44,class6,141.629,class9
